c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,ITF4	1600910 	1713745 	1646751 	1848669 	2177371 	2286595 	2446689 	2547305 	2675795 	2985508 	3262689 	3553818 
FOR,NR,I551-I553,ITF5	188693 	181304 	158262 	155157 	154307 	148094 	172223 	215011 	228961 	251579 	261017 	296230 
FOR,NR,I551-I553,ITF6	1542133 	1468628 	1472171 	1399211 	1639946 	1645323 	1663416 	1618710 	1646288 	1848930 	2020391 	2062335 
FOR,NR,I551-I553,ITG1	5925358 	5557224 	5378455 	5297512 	5904028 	6310821 	7148069 	7107368 	6967871 	6880444 	7242221 	7698873 
FOR,NR,I551-I553,ITG2	3859394 	3881544 	4066558 	4023759 	4469248 	4400649 	4908201 	5316299 	5838536 	6428656 	7097936 	7702591 
FOR,NR,I551-I553,ITH1	17180912 	17558790 	17672149 	18112700 	18694259 	19599438 	19673258 	19654727 	20065346 	21493194 	22125350 	22949184 
FOR,NR,I551-I553,ITH2	5322629 	5530382 	5584047 	5599033 	5787381 	6123551 	6366262 	6588081 	6698611 	7056634 	7412103 	7475358 
FOR,NR,I551-I553,ITH3	36114881 	35676417 	35904121 	36722503 	39336415 	40387375 	40877288 	41306004 	42213738 	43961632 	47100170 	46882151 
FOR,NR,I551-I553,ITH4	3572687 	3772661 	3845666 	3851407 	4238146 	4263162 	4141763 	4132771 	4304970 	4644596 	4965583 	5157667 
FOR,NR,I551-I553,ITH5	8994209 	9038550 	8702363 	9024230 	9581936 	9632676 	9838480 	9822981 	9612200 	10101713 	10719888 	10836813 
FOR,NR,I551-I553,ITI1	19962791 	19733476 	19031859 	20531863 	22116918 	22307426 	23166029 	23154147 	23947505 	24011886 	24941993 	25940413 
FOR,NR,I551-I553,ITI2	2155259 	2084669 	1881528 	1903482 	2060668 	2068932 	2072217 	2136726 	2177649 	2169020 	1975977 	2185722 
FOR,NR,I551-I553,ITI3	2223250 	1671596 	1595043 	1709231 	1831101 	1854481 	1960732 	2065448 	2292704 	2160603 	2003685 	1719235 
FOR,NR,I551-I553,ITI4	21267429 	21118292 	20366603 	20459991 	20516459 	20516459 	20516459 	20675157 	19655212 	19599885 	21015189 	22857182 
FOR,NR,I551-I553,LI00	167748 	171425 	158414 	150336 	: 	136276 	132491 	130202 	110465 	127747 	146892 	158728 
FOR,NR,I551-I553,LT00	1609998 	1626829 	1395899 	1571325 	1883003 	2680048 b	2906201 	3033826 	3010727 	3273420 	: 	: 
FOR,NR,I551-I553,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1712271 	1853947 
FOR,NR,I551-I553,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1718962 	1882903 
FOR,NR,I551-I553,LU00	2328688 	2249545 	2075831 	1717130 	2057883 	2298068 	2313124 	2513585 	2655733 	2637701 	2573589 	: 
FOR,NR,I551-I553,LV00	1935984 	2115618 	1699562 	1912336 	2257021 	2429093 	2639434 	2875934 	2873885 	3044532 	3406527 	3742966 
FOR,NR,I551-I553,ME00	: 	: 	: 	: 	2743414 	8143007 	: 	: 	10307371 	10528475 	3459000 b	: 
FOR,NR,I551-I553,MK00	: 	579549 	575117 	548640 	740532 	794564 	864125 	900148 	1020943 	1050917 	1289111 	1483982 
FOR,NR,I551-I553,MT00	7749831 	7581137 	6550794 	7208295 	7361449 	7498421 	8172407 	8428215 	8542055 	8622438 	9184162 	9685156 
FOR,NR,I551-I553,NL11	273500 u	297000 	324800 	253700 	268900 	292966 	305927 b	351978 	446016 	341613 	436330 	524371 
FOR,NR,I551-I553,NL12	953900 	887900 	1235800 	886400 	1063700 	865204 	1136976 b	1271995 	1246966 	1241389 	1321443 	1496872 
FOR,NR,I551-I553,NL13	458800 	390200 	481800 	488400 	427400 	549932 	654805 b	713674 	802889 	825073 	1007730 	1134192 
FOR,NR,I551-I553,NL21	523400 	592000 	469900 	565300 	609200 	596087 	532541 b	591319 	730210 	860555 	1056779 	1144048 
FOR,NR,I551-I553,NL22	1046300 	943300 	817700 	889100 	954600 	1003414 	1051716 b	1017418 	1224089 	1242949 	1585902 	1791657 
FOR,NR,I551-I553,NL23	449600 u	410700 	389400 	409700 	321300 	509406 	651988 b	652353 	667793 	728708 	830952 	781711 
FOR,NR,I551-I553,NL31	602000 	597000 u	: c	: c	662000 	604418 	658251 b	639739 	784994 	723386 	935037 	873850 
FOR,NR,I551-I553,NL32	12112300 	10821100 u	: c	: c	12449200 	12357479 	13749451 b	15308006 	16195278 	17735316 	20107090 	21252732 
FOR,NR,I551-I553,NL33	3853900 	3548000 	3519500 	3589600 	3616400 	3683251 	4431728 b	4663412 	5050333 	5294633 	5677425 	5855978 
FOR,NR,I551-I553,NL34	3529200 	2926500 	2986900 	3228200 	3399900 	3098706 	3896273 b	4480617 	4850042 	4989940 	5273780 	5758533 
FOR,NR,I551-I553,NL41	1893100 	1757700 	1485500 	1852800 	1902200 	1995830 	2263976 b	2231593 	2533315 	2638773 	2687216 	2905646 
FOR,NR,I551-I553,NL42	2256000 	2096200 	1926300 	1991300 	2064200 	2289250 	2436876 b	2501450 	2765664 	3001206 	3249357 	3481956 
FOR,NR,I551-I553,NO01	1678845 	1604541 	1536941 	1765188 	1719592 	1787660 	1981708 	2235762 	2444522 	2624554 	: 	: 
FOR,NR,I551-I553,NO02	1193070 	1152345 	1113506 	1059427 	966778 	920339 	820495 	814294 	882106 	975376 	: 	: 
FOR,NR,I551-I553,NO03	1050205 	1036837 	954669 	1022181 	953938 	963811 	889705 	957140 	991104 	1053791 	: 	: 
FOR,NR,I551-I553,NO04	869055 	889021 	742476 	796861 	869288 	891022 	779596 	823952 	788996 	785989 	: 	: 
FOR,NR,I551-I553,NO05	2173258 	2119575 	1927967 	1959437 	1987404 	1972075 	1906742 	2082584 	2230275 	2514216 	: 	: 
FOR,NR,I551-I553,NO06	449537 	429793 	400648 	401365 	400082 	436096 	402241 	459388 	468881 	493766 	: 	: 
FOR,NR,I551-I553,NO07	891317 	886933 	824224 	877066 	947159 	969465 	893598 	1047678 	1045538 	1225301 	: 	: 
FOR,NR,I551-I553,PL11	258765 	262595 	291293 	271843 	267350 	323135 	301942 	329377 	367598 	344725 	: 	: 
FOR,NR,I551-I553,PL12	1534034 	1506428 	1459444 	1623229 	1740860 	1963925 	2103384 	2115202 	2357348 	2777517 	: 	: 
FOR,NR,I551-I553,PL21	2268918 	1985679 	1944533 	2135297 	2175036 	2485970 	2732546 	2842639 	2940536 	3328387 	3553368 	3652754 
FOR,NR,I551-I553,PL22	664909 	665492 	601100 	597579 	585390 	564598 	593887 	620363 	662287 	800131 	829962 	967481 
FOR,NR,I551-I553,PL31	158604 	139002 	124202 	128884 	145998 	152806 	173503 	166557 	171369 	188477 	: 	: 
FOR,NR,I551-I553,PL32	191696 	147033 	142469 	153762 	153253 	147661 	159789 	174499 	213379 	259276 	: 	: 
FOR,NR,I551-I553,PL33	72967 	64214 	61263 	66861 	65510 	64036 	62808 	61674 	65209 	74453 	: 	: 
FOR,NR,I551-I553,PL34	135917 	106185 	106571 	108038 	136448 	186111 	209579 	213756 	216646 	218494 	: 	: 
FOR,NR,I551-I553,PL41	449271 	528607 	487122 	478999 	485049 	516434 	473405 	507581 	541468 	613057 	639231 	663667 
FOR,NR,I551-I553,PL42	2105861 	2047523 	2013915 	2008067 	2234941 	2523621 	2703072 	2825641 	2961636 	3263912 	3461521 	3834298 
FOR,NR,I551-I553,PL43	262151 	286358 	215197 	225893 	246862 	258259 	243281 	249056 	270801 	300484 	331764 	327190 
FOR,NR,I551-I553,PL51	1309828 	1129023 	926058 	1016644 	1028065 	1128799 	1107198 	1128234 	1156714 	1347103 	1442076 	1483890 
FOR,NR,I551-I553,PL52	95972 	100200 	80718 	71472 	79949 	81787 	74948 	75781 	90800 	109592 	107086 	108909 
FOR,NR,I551-I553,PL61	212685 	189740 	154221 	176867 	193288 	200945 	176873 	190082 	239561 	282924 	290642 	279631 
FOR,NR,I551-I553,PL62	457944 	384139 	380775 	361077 	362095 	388252 	399967 	422218 	380250 	401127 	400048 	395204 
FOR,NR,I551-I553,PL63	738578 	631019 	620566 	640116 	720170 	890260 	955086 	1069581 	1122055 	1269566 	1450879 	1542129 
FOR,NR,I551-I553,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	364930 	531483 
FOR,NR,I551-I553,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81883 	105595 
FOR,NR,I551-I553,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	211183 	215750 
FOR,NR,I551-I553,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	303657 	291635 
FOR,NR,I551-I553,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220602 	199203 
FOR,NR,I551-I553,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2774120 	2891588 
FOR,NR,I551-I553,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	242263 	252244 
FOR,NR,I551-I553,PT11	2032501 	2108300 	1986839 	2188492 	2348562 	2416297 	2895556 	3398380 	4002827 	4761416 	5554518 	6138299 
FOR,NR,I551-I553,PT15	12162946 	11546202 	10082878 	10173949 	11083489 	11641993 	12387231 	13339318 	14092802 	15989621 	17029112 	16862546 
FOR,NR,I551-I553,PT16	1728158 	1740488 	1606925 	1650591 	1833987 	1739996 	1847956 	2104498 	2380839 	2710146 	3565755 	3361425 
FOR,NR,I551-I553,PT17	6508070 	6254020 	5821596 	6308398 	6741722 	7251083 	8090915 	9574739 	10536980 	11772332 	13470707 	14127533 
FOR,NR,I551-I553,PT18	391021 	418941 	390692 	395662 	441217 	483043 	561596 	696649 	804686 	931319 	1109098 	1245056 
FOR,NR,I551-I553,PT20	657363 	608295 	522507 	526365 	568800 	: c	727040 	: c	796856 	974598 	1104236 	1243004 
FOR,NR,I551-I553,PT30	5189740 	5450470 	4613241 	4125834 	4842326 	: c	5568479 	: c	6282339 	6819863 	7051416 	6874461 
FOR,NR,I551-I553,RO11	335349 	294537 	237993 	257411 	288011 	290915 	298954 	326004 	442582 	476194 	551328 	: 
FOR,NR,I551-I553,RO12	640210 	561324 	428462 	483677 	541678 	608992 	676309 	749971 	910330 	1001369 	1088766 	: 
FOR,NR,I551-I553,RO21	212706 	181669 	149452 	145237 	175069 	189699 	198908 	211142 	234286 	269058 	290929 	: 
FOR,NR,I551-I553,RO22	544404 	413283 	289283 	251117 	265835 	260881 	336790 	324571 	370680 	339467 	344430 	: 
FOR,NR,I551-I553,RO31	357717 	344914 	264953 	271495 	292458 	287036 	260217 	226065 	248307 	285987 	314495 	: 
FOR,NR,I551-I553,RO32	1092617 	1201592 	991079 	1067425 	1153691 	1223521 	1313534 	1537443 	1780507 	1953175 	2132907 	: 
FOR,NR,I551-I553,RO41	70344 	64244 	42852 	39981 	: 	99277 	100778 	85307 	111843 	117972 	120671 	: 
FOR,NR,I551-I553,RO42	333092 	297681 	263592 	250238 	277871 	331183 	285662 	301962 	361482 	368828 	424444 	: 
FOR,NR,I551-I553,SE11	3052149 	3099681 	3174346 	3332573 	3452328 	3523503 	3571395 	3941850 	4485270 	4684817 	5159938 	5563569 
FOR,NR,I551-I553,SE12	766838 	716790 	721678 	759604 	782039 	707259 	784962 	791578 	861137 	876393 	925284 	936899 
FOR,NR,I551-I553,SE21	1030721 	848911 	906400 	862547 	824924 	817090 	868618 	921983 	988225 	985857 	1023667 	1038684 
FOR,NR,I551-I553,SE22	1049511 	1022150 	1111336 	1040654 	1065726 	1059359 	1075986 	1216374 	1307023 	1436924 	1476916 	1660149 
FOR,NR,I551-I553,SE23	2286684 	2360663 	2372290 	2369703 	2395609 	2339879 	2414437 	2609964 	2975602 	3079361 	3069653 	3172375 
FOR,NR,I551-I553,SE31	1363536 	1349081 	1325747 	1411154 	1306095 	1250708 	1179709 	1234063 	1321415 	1271315 	1277860 	1408239 
FOR,NR,I551-I553,SE32	611139 	574095 	626801 	471944 	522760 	557958 	515715 	513456 	600845 	614958 	614280 	643799 
FOR,NR,I551-I553,SE33	1039781 	948735 	1078904 	936816 	994954 	1043699 	1031868 	1031444 	1073407 	1047640 	1091104 	1261967 
FOR,NR,I551-I553,SI03	1466624 	1672570 	1590806 	1577036 	1702805 	1918185 	1872068 	1887968 	1944538 	2122455 	2394685 	: 
FOR,NR,I551-I553,SI04	3240596 	3412738 	3066019 	3103420 	3403647 	3784121 	4015794 	4116655 	4584548 	5129615 	6083334 	: 
FOR,NR,I551-I553,SK01	982738 	1008645 	817760 	871285 	1007022 	1071370 	1192306 	1058131 	1391040 	1632359 	1682945 	1724222 
FOR,NR,I551-I553,SK02	1276002 	1351839 	996165 	1020085 	1014676 	1019650 	1035270 	1004297 	1049998 	1190937 	1391842 	1407436 
FOR,NR,I551-I553,SK03	1521686 	1473420 	1025307 	1031078 	1079069 	1054987 	1103780 	948413 	1020643 	1147878 	1182655 	1316896 
FOR,NR,I551-I553,SK04	1334742 	1310927 	868095 	827118 	889533 	893403 	946242 	841306 	923119 	1067040 	1059503 	1110328 
FOR,NR,I551-I553,TR10	: 	: 	: 	: 	: 	: 	10971911 	12530462 	13117799 	11253206 	: 	: 
FOR,NR,I551-I553,TR21	: 	: 	: 	: 	: 	: 	82620 	110771 	107593 	83836 	: 	: 
FOR,NR,I551-I553,TR22	: 	: 	: 	: 	: 	: 	436797 	456043 	450712 	189210 	: 	: 
FOR,NR,I551-I553,TR31	: 	: 	: 	: 	: 	: 	2376415 	2677276 	2385501 	1572257 	: 	: 
FOR,NR,I551-I553,TR32	: 	: 	: 	: 	: 	: 	13641474 	14407210 	14642987 	8246068 	: 	: 
FOR,NR,I551-I553,TR33	: 	: 	: 	: 	: 	: 	90334 	103797 	86774 	81488 	: 	: 
FOR,NR,I551-I553,TR41	: 	: 	: 	: 	: 	: 	449227 	514324 	530551 	423485 	: 	: 
FOR,NR,I551-I553,TR42	: 	: 	: 	: 	: 	: 	361826 	434021 	413695 	356933 	: 	: 
FOR,NR,I551-I553,TR51	: 	: 	: 	: 	: 	: 	994215 	947856 	897505 	664572 	: 	: 
FOR,NR,I551-I553,TR52	: 	: 	: 	: 	: 	: 	215312 	201884 	175938 	107849 	: 	: 
FOR,NR,I551-I553,TR61	: 	: 	: 	: 	: 	: 	57705795 	62755695 	61432224 	41635170 	: 	: 
FOR,NR,I551-I553,TR62	: 	: 	: 	: 	: 	: 	220262 	249776 	274278 	199711 	: 	: 
FOR,NR,I551-I553,TR63	: 	: 	: 	: 	: 	: 	139069 	124603 	98754 	81517 	: 	: 
FOR,NR,I551-I553,TR71	: 	: 	: 	: 	: 	: 	1146712 	1205231 	842113 	200205 	: 	: 
FOR,NR,I551-I553,TR72	: 	: 	: 	: 	: 	: 	51025 	46135 	41464 	54703 	: 	: 
FOR,NR,I551-I553,TR81	: 	: 	: 	: 	: 	: 	37575 	44986 	39556 	56598 	: 	: 
FOR,NR,I551-I553,TR82	: 	: 	: 	: 	: 	: 	7651 	6924 	12957 	8072 	: 	: 
FOR,NR,I551-I553,TR83	: 	: 	: 	: 	: 	: 	29674 	39032 	39905 	45358 	: 	: 
FOR,NR,I551-I553,TR90	: 	: 	: 	: 	: 	: 	164921 	220083 	376280 	243097 	: 	: 
FOR,NR,I551-I553,TRA1	: 	: 	: 	: 	: 	: 	73519 	67172 	54106 	29997 	: 	: 
FOR,NR,I551-I553,TRA2	: 	: 	: 	: 	: 	: 	29994 	34990 	22953 	21463 	: 	: 
FOR,NR,I551-I553,TRB1	: 	: 	: 	: 	: 	: 	21101 	24952 	24860 	18539 	: 	: 
FOR,NR,I551-I553,TRB2	: 	: 	: 	: 	: 	: 	35170 	65316 	63693 	52674 	: 	: 
FOR,NR,I551-I553,TRC1	: 	: 	: 	: 	: 	: 	205247 	197920 	177142 	120054 	: 	: 
FOR,NR,I551-I553,TRC2	: 	: 	: 	: 	: 	: 	71420 	78942 	60461 	33014 	: 	: 
FOR,NR,I551-I553,TRC3	: 	: 	: 	: 	: 	: 	34995 	35674 	30515 	14240 	: 	: 
FOR,NR,I551-I553,UKC1	237826 	218376 	108716 	318281 	276823 	329471 	: 	: 	: 	1747080 	: 	: 
FOR,NR,I551-I553,UKC2	1099697 	706999 	908576 	752432 	975634 	1453705 	: 	: 	: 	3937700 	: 	: 
FOR,NR,I551-I553,UKD1	610520 	509784 	322978 	447663 	621322 	684842 	: 	: 	: 	1466970 	: 	: 
FOR,NR,I551-I553,UKD3	2312592 	2018488 	1921592 	2394933 	2212150 	2339672 	: 	: 	: 	8616830 	: 	: 
FOR,NR,I551-I553,UKD4	747298 	506468 	709857 	400772 	627008 	958192 	: 	: 	: 	2616550 	: 	: 
FOR,NR,I551-I553,UKD6	547638 	502989 	438470 	433728 	508814 	506462 	: 	: 	: 	2313440 	: 	: 
FOR,NR,I551-I553,UKD7	913417 	1147495 	804993 	867182 	1270265 	1690560 	: 	: 	: 	3660580 	: 	: 
FOR,NR,I551-I553,UKE1	136683 	296252 	304035 	118149 	123485 	211410 	: 	: 	: 	1659690 	: 	: 
FOR,NR,I551-I553,UKE2	595161 	796621 	813394 	845616 	864291 	1256821 	: 	: 	: 	2593680 	: 	: 
FOR,NR,I551-I553,UKE3	285591 	476088 	471498 	672679 	537047 	832336 	: 	: 	: 	2915960 	: 	: 
FOR,NR,I551-I553,UKE4	576685 	705980 	572258 	549439 	1370800 	1322507 	: 	: 	: 	4305430 	: 	: 
FOR,NR,I551-I553,UKF1	964089 	852514 	1150885 	709255 	1004478 	1248704 	: 	: 	: 	4922330 	: 	: 
FOR,NR,I551-I553,UKF2	790729 	722146 	472325 	870471 	774765 	770672 	: 	: 	: 	4030640 	: 	: 
FOR,NR,I551-I553,UKF3	183923 	283100 	205905 	220810 	237997 	239225 	: 	: 	: 	1080030 	: 	: 
FOR,NR,I551-I553,UKG1	797517 	794429 	848222 	759885 	728104 	969958 	: 	: 	: 	0 	: 	: 
FOR,NR,I551-I553,UKG2	268704 	401370 	382727 	257669 	467177 	414897 	: 	: 	: 	2389130 	: 	: 
FOR,NR,I551-I553,UKG3	1760250 	1624206 	1925802 	1565482 	1734306 	2582699 	: 	: 	: 	10170430 	: 	: 
FOR,NR,I551-I553,UKH1	2305427 	2336930 	1994006 	1846914 	2536662 	3219880 	: 	: 	: 	6977190 	: 	: 
FOR,NR,I551-I553,UKH2	1271773 	1196170 	786343 	795728 	1136722 	984062 	: 	: 	: 	5885410 	: 	: 
FOR,NR,I551-I553,UKH3	987283 	624924 	531844 	580389 	547944 	555249 	: 	: 	: 	3550810 	: 	: 
FOR,NR,I551-I553,UKI1	: 	: 	: 	: 	42340551 	36469602 b	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,UKI2	: 	: 	: 	0 	: 	13488757 b	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,UKI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	28683533 	: 	: 
FOR,NR,I551-I553,UKI4	: 	: 	: 	: 	: 	: 	: 	: 	: 	26845643 	: 	: 
FOR,NR,I551-I553,UKI5	: 	: 	: 	: 	: 	: 	: 	: 	: 	21292717 	: 	: 
FOR,NR,I551-I553,UKI6	: 	: 	: 	: 	: 	: 	: 	: 	: 	17952027 	: 	: 
FOR,NR,I551-I553,UKI7	: 	: 	: 	: 	: 	: 	: 	: 	: 	16284511 	: 	: 
FOR,NR,I551-I553,UKJ1	3039983 	3077327 	3034224 	2984524 	4108274 	4520586 	: 	: 	: 	11456450 	: 	: 
FOR,NR,I551-I553,UKJ2	2900031 	2840131 	2702568 	2953333 	3594712 	3118023 	: 	: 	: 	13226330 	: 	: 
FOR,NR,I551-I553,UKJ3	1012005 	1064955 	1228632 	1169048 	1527491 	1994451 	: 	: 	: 	5812610 	: 	: 
FOR,NR,I551-I553,UKJ4	1277327 	1781464 	1370114 	1544622 	1926885 	1918577 	: 	: 	: 	5800160 	: 	: 
FOR,NR,I551-I553,UKK1	1801605 	1663561 	1931145 	1701554 	1568500 	1770493 	: 	: 	: 	7776750 	: 	: 
FOR,NR,I551-I553,UKK2	1976740 	1914544 	1772030 	1999508 	1612892 	1838160 	: 	: 	: 	6802100 	: 	: 
FOR,NR,I551-I553,UKK3	1014970 	832744 	1322567 	990347 	1042944 	1430809 	: 	: 	: 	2400790 	: 	: 
FOR,NR,I551-I553,UKK4	937098 	1298482 	1144160 	1153482 	892669 	1578935 	: 	: 	: 	3158480 	: 	: 
FOR,NR,I551-I553,UKL1	1259396 	1373163 	1054340 	1190926 	1003038 	1273407 	: 	: 	: 	3961040 	: 	: 
FOR,NR,I551-I553,UKL2	959829 	1253699 	932075 	1149803 	774831 	1849338 	: 	: 	: 	3126230 	: 	: 
FOR,NR,I551-I553,UKM2	5336976 	4450479 	4700970 	5266420 	4679868 	6238706 b	: 	: 	: 	11251270 	: 	: 
FOR,NR,I551-I553,UKM3	2706371 	2032062 	1596849 	1881774 	1514922 	1746996 b	: 	: 	: 	4629740 	: 	: 
FOR,NR,I551-I553,UKM5	450924 	502890 	667281 	450087 	800730 	1015858 	: 	: 	: 	1674900 	: 	: 
FOR,NR,I551-I553,UKM6	2325414 	1776482 	1811027 	2185902 	1719453 	1879882 	: 	: 	: 	3613410 	: 	: 
FOR,NR,I551-I553,UKN0	384705 	55598 	458544 	426021 	330366 	751625 	: 	: 	: 	8864500 	: 	: 
NAT,NR,I551-I553,AT11	1873637 	1958079 	2015526 	2073740 	2079910 	2095789 	2054074 	2115900 	2118981 	2266484 	2258990 	2204815 
NAT,NR,I551-I553,AT12	3778322 	3920959 	4072806 	4185274 	4249819 	4284345 	4181192 	4292359 	4263872 	4296231 	4370345 	4447923 
NAT,NR,I551-I553,AT13	2001513 	2001114 	1968814 	2243764 	2094173 	2235775 	2318704 	2470892 	2603342 	2805905 	2802692 	2956265 
NAT,NR,I551-I553,AT21	4068276 	4061380 	4153533 	4104182 	4255554 	4277493 	4199071 	4133621 	4297201 	4572466 	4646266 	4795072 
NAT,NR,I551-I553,AT22	5420013 	5605061 	5779473 	5919240 	6016179 	6097033 	6152561 	6132051 	6263753 	6547416 	6690955 	6802411 
NAT,NR,I551-I553,AT31	3563688 	3732069 	3799499 	3793876 	3861100 	3952281 	3870268 	3855522 	3921221 	4036022 	4102109 	4301669 
NAT,NR,I551-I553,AT32	4737133 	4886629 	4941937 	5062489 	5138655 	5250963 	5296685 	5225435 	5358130 	5625331 	5779749 	5894364 
NAT,NR,I551-I553,AT33	2953029 	3050925 	3102133 	3195815 	3234753 	3381506 	3371006 	3310976 	3401122 	3539267 	3566681 	3647191 
NAT,NR,I551-I553,AT34	750104 	762511 	775132 	777979 	762194 	807104 	810266 	804924 	833323 	869759 	864435 	885676 
NAT,NR,I551-I553,BE10	722629 	764196 	867330 	1059095 	1193396 	1164351 	1217678 	: 	1233249 	1072990 	1288943 	1489565 
NAT,NR,I551-I553,BE21	1431942 	1521508 	1553207 	1617349 	1736684 	1784371 	1779220 	: 	2035552 	2097532 	2127989 	2350783 
NAT,NR,I551-I553,BE22	1967575 	2003482 	2086191 	2017359 	2084075 	2075155 	2057777 	: 	2284030 	2363050 	2321309 	2396123 
NAT,NR,I551-I553,BE23	628675 	682932 	681000 	740348 	792464 	814458 	880644 	: 	1015389 	1007562 	1091658 	1152562 
NAT,NR,I551-I553,BE24	591837 	649593 	619728 	660742 	728725 	787967 	831084 	: 	914963 	879375 	959474 	1071623 
NAT,NR,I551-I553,BE25	4530846 	4401639 	4405254 	4442330 	4579074 	4521108 	4527337 	: 	7887632 	7901359 	7720404 	7721637 
NAT,NR,I551-I553,BE31	119789 	127868 	152108 	195395 	184883 	171969 	176762 	: 	209783 	219669 	243051 	247263 
NAT,NR,I551-I553,BE32	298118 	325206 	333693 	348770 	357614 	379548 	390829 	: 	513613 	597551 	641361 	664227 
NAT,NR,I551-I553,BE33	1039687 	1054795 	1057802 	1076119 	1073333 	1167308 	1121923 	: 	1145929 	1288691 	1326924 	1281937 
NAT,NR,I551-I553,BE34	1434151 	1316457 	1277448 	1242048 	1197676 	1221338 	1226256 	: 	1446195 	1521731 	1419259 	1548089 
NAT,NR,I551-I553,BE35	812796 	763461 	765603 	728795 	728053 	747222 	726949 	: 	841993 	842510 	880093 	831792 
NAT,NR,I551-I553,BG31	346370 	380272 	349533 	312859 	379627 	421481 	474569 	445921 	445179 	486479 	486562 	485184 
NAT,NR,I551-I553,BG32	473754 	488046 	434230 	372737 	452320 	533130 	509168 	522624 	549142 	612647 	598685 	651143 
NAT,NR,I551-I553,BG33	1204136 	1285711 	1162070 	1155652 	1345570 	1365725 	1413683 	1368067 	1444398 	1561105 	1578982 	1606356 
NAT,NR,I551-I553,BG34	1480721 	1541782 	1553524 	1547249 	1686665 	1668682 	1838976 	1980913 	2137025 	2432839 	2336196 	2316864 
NAT,NR,I551-I553,BG41	1247920 	1383183 	1165558 	1061214 	1134087 	1388540 	1469016 	1635312 	1730730 	2001835 	1994121 	1999265 
NAT,NR,I551-I553,BG42	1216971 	1312475 	1151163 	1142293 	1231069 	1423040 	1541636 	1667756 	1739061 	1940425 	1953983 	2037276 
NAT,NR,I551-I553,CH01	: 	: 	: 	: 	: 	: 	: 	: 	: 	6853499 	: 	: 
NAT,NR,I551-I553,CH02	: 	: 	: 	: 	: 	: 	: 	: 	: 	4855251 	: 	: 
NAT,NR,I551-I553,CH03	: 	: 	: 	: 	: 	: 	: 	: 	: 	1039747 	: 	: 
NAT,NR,I551-I553,CH04	: 	: 	: 	: 	: 	: 	: 	: 	: 	1645157 	: 	: 
NAT,NR,I551-I553,CH05	: 	: 	: 	: 	: 	: 	: 	: 	: 	6842698 	: 	: 
NAT,NR,I551-I553,CH06	: 	: 	: 	: 	: 	: 	: 	: 	: 	2558763 	: 	: 
NAT,NR,I551-I553,CH07	: 	: 	: 	: 	: 	: 	: 	: 	: 	2619173 	: 	: 
NAT,NR,I551-I553,CY00	1180663 	1171421 	1337008 	1352630 	1172135 	1088446 	895939 	830943 	824517 	844182 	834104 	916840 
NAT,NR,I551-I553,CZ01	993337 	1103939 	1063695 	1173255 	1270768 	1506098 	1597351 	1368554 	1576176 	1778681 	1923556 	2116084 
NAT,NR,I551-I553,CZ02	1505691 	1360560 	1346415 	1335923 	1397164 	1627638 	1567389 	1523849 	1721919 	1808050 	1897353 	2040482 
NAT,NR,I551-I553,CZ03	3466326 	3293019 	3292111 	3123238 	3021595 	3532635 	3507490 	3494180 	4048416 	4307523 	4385442 	4668581 
NAT,NR,I551-I553,CZ04	2033275 	1894581 	1859253 	1780310 	1807907 	2091066 	1850545 	1921097 	2359492 	2604973 	2676544 	2932564 
NAT,NR,I551-I553,CZ05	5001920 	4882759 	4833118 	4878606 	4809549 	5435950 	5278895 	4945008 	5783795 	6055702 	6541230 	6806524 
NAT,NR,I551-I553,CZ06	2497590 	2374998 	2295427 	2141857 	2297973 	2802224 	2931315 	3054373 	3246626 	3469781 	3864123 	4140996 
NAT,NR,I551-I553,CZ07	3031876 	2791111 	2654673 	2639855 	2674656 	2848380 	2899408 	2965961 	3300816 	3492932 	3592606 	3813427 
NAT,NR,I551-I553,CZ08	1690871 	1595485 	1570607 	1469820 	1530637 	1640481 	1530990 	1563795 	1770151 	1911166 	2081528 	2235243 
NAT,NR,I551-I553,DE11	7209607 	7623736 	6662809 	6954052 	7564769 	8065061 	8066770 	8495268 	8618088 	8917392 	9157859 	9475942 
NAT,NR,I551-I553,DE12	6778259 	6806745 	6302216 	6462701 	6762347 	6941992 	6860335 	7075611 	7398637 	7617420 	7823225 	8040471 
