c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,DE13	2775328 	2957654 	2890835 	3052870 	3340899 	3576540 	3773332 	3939614 	4284141 	4362394 	4380100 	4502141 
FOR,NR,I551-I553,DE14	797722 	819999 	788220 	829170 	950244 	1032499 	1053340 	1098563 	1195932 	1232775 	1231602 	1309658 
FOR,NR,I551-I553,DE21	7372752 	7449438 	7060906 	8134715 	8382033 	9228042 	9827827 	10232480 	10828898 	10632249 	11812215 	12723492 
FOR,NR,I551-I553,DE22	795375 	772132 	715764 	658947 	695517 	754169 	746558 	765965 	779538 	781084 	831788 	852225 
FOR,NR,I551-I553,DE23	524027 	529006 	504439 	530483 	569023 	582994 	558137 	586364 	634069 	665717 	701819 	754322 
FOR,NR,I551-I553,DE24	332620 	343640 	304963 	330906 	349384 	359550 	357613 	375047 	409803 	428346 	433223 	464325 
FOR,NR,I551-I553,DE25	1513076 	1488939 	1326107 	1491605 	1614906 	1725618 	1744417 	1833791 	1913460 	1955945 	2037634 	2229896 
FOR,NR,I551-I553,DE26	561960 	573826 	503730 	521861 	552879 	600188 	592430 	624436 	652156 	648468 	646730 	662538 
FOR,NR,I551-I553,DE27	1570599 	1555283 	1505883 	1624557 	1746532 	1917440 	1953715 	2008830 	2159132 	2197439 	2491762 	2646633 
FOR,NR,I551-I553,DE30	6613971 	7045049 	7456208 	8500412 	9241275 	10580101 	11549801 	12489040 	13638129 	14169182 	13981699 	15084908 
FOR,NR,I551-I553,DE40	705265 	740529 	650458 	743312 	753599 	789486 	816800 	885259 	935801 	941805 	941158 	1048207 
FOR,NR,I551-I553,DE50	369905 	377671 	391030 	393845 	407290 	401385 	442107 	484896 	499591 	485969 	493032 	523504 
FOR,NR,I551-I553,DE60	1536324 	1612097 	1655138 	1852309 	2042103 	2390809 	2662154 	2935960 	3108279 	3279996 	3446375 	3597485 
FOR,NR,I551-I553,DE71	4398550 	4380985 	3995826 	4488467 	4640136 	5143718 	5383965 	5719542 	6135463 	6238419 	6487878 	6981396 
FOR,NR,I551-I553,DE72	221680 	219223 	216817 	215895 	235164 	241196 	253618 	263945 	273306 	282710 	300388 	304140 
FOR,NR,I551-I553,DE73	751521 	695518 	696408 	696956 	734067 	803818 	685192 	657658 	648850 	693610 	823713 	745977 
FOR,NR,I551-I553,DE80	753541 	837005 	804351 	847045 	797851 	917525 	944960 	1000492 	1020873 	1033485 	997532 	1066924 
FOR,NR,I551-I553,DE91	718096 	703525 	695444 	716317 	747072 	787005 	871743 	866928 	908860 	907518 	895870 	951596 
FOR,NR,I551-I553,DE92	776645 	795315 	710723 	771372 	950830 	885641 	950915 	962757 	1012272 	1027268 	1074179 	1047877 
FOR,NR,I551-I553,DE93	522985 	554121 	566873 	572368 	585169 	630413 	623366 	639164 	667686 	651014 	679266 	708573 
FOR,NR,I551-I553,DE94	710553 	796808 	808875 	1027522 	1061593 	1186643 	1087244 	1062962 	1036900 	1091912 	1105033 	1183985 
FOR,NR,I551-I553,DEA1	2403225 	2677269 	2332709 	2656675 	2876711 	3039101 	3169344 	3354437 	3285009 	3496282 	3552161 	3538020 
FOR,NR,I551-I553,DEA2	2919539 	2885193 	2586377 	2889546 	3093885 	3197694 	3342853 	3650278 	3801102 	3709941 	4062540 	3928086 
FOR,NR,I551-I553,DEA3	493204 	511269 	502954 	519044 	511165 	486391 	488308 	541826 	533750 	568559 	625442 	611563 
FOR,NR,I551-I553,DEA4	488138 	493338 	482109 	495698 	519929 	520390 	561317 	551704 	543590 	567083 	606764 	584563 
FOR,NR,I551-I553,DEA5	1437796 	1475084 	1432745 	1581368 	1727141 	1846712 	1806522 	1785270 	1820833 	1942686 	2025165 	2000228 
FOR,NR,I551-I553,DEB1	1676872 	1927027 	2066074 	2220104 	2278625 	2240866 	2157962 	2134752 	2185419 	2106211 	2099868 	2006227 
FOR,NR,I551-I553,DEB2	2340679 	2351672 	2333621 	2276667 	2212019 	2168542 	2131833 	2189444 	2224684 	2203720 	2145368 	2214826 
FOR,NR,I551-I553,DEB3	791490 	825862 	798750 	864420 	849374 	871373 	898137 	898640 	907583 	923602 	954516 	1044502 
FOR,NR,I551-I553,DEC0	270008 	234420 	178414 	197785 	243440 	224322 	311932 	419821 	424275 	429490 	425838 	447202 
FOR,NR,I551-I553,DED2	783942 	826352 	829789 	920203 	966199 	1046838 	1033929 	1074874 	1129355 	1127915 	1187761 	1255481 
FOR,NR,I551-I553,DED4	182358 	200140 	189579 	208752 	238380 	263104 	277522 	266465 	247556 	218304 	236123 	258782 
FOR,NR,I551-I553,DED5	378381 	437189 	416028 	474443 	424688 	498059 	545469 	493206 	521040 	539035 	627216 	664804 
FOR,NR,I551-I553,DEE0	416386 	464205 	435573 	473764 	456416 	531699 	504459 	520987 	549244 	554708 	634076 	555057 
FOR,NR,I551-I553,DEF0	1275385 	1344277 	1275548 	1406547 	1464045 	1540091 	1718716 	1871401 	1974164 	1944632 	2011760 	2113365 
FOR,NR,I551-I553,DEG0	529506 	523990 	529737 	557601 	552339 	582867 	551611 	579486 	569448 	565646 	608681 	559769 
FOR,NR,I551-I553,DK01	3624873 	3648528 	3485327 	3907200 	4340748 	4702691 	4954998 	5412139 	5645432 	5951741 	6186250 	6656562 
FOR,NR,I551-I553,DK02	698195 	633168 	472235 	489129 	469394 	439688 	486278 	532870 	502652 	558841 	570309 	577961 
FOR,NR,I551-I553,DK03	2433975 	2365242 	2317310 	2434507 	2447245 	2290127 	2351411 	2503077 	2692795 	2786380 	2770244 	2909359 
FOR,NR,I551-I553,DK04	1042988 	933735 	888006 	951930 	964829 	937305 	931282 	980633 	1061854 	1057063 	1124443 	1152948 
FOR,NR,I551-I553,DK05	1527548 	1337524 	1136525 	1199226 	1268921 	1238313 	1190304 	1179400 	1268682 	1275979 	1263541 	1297781 
FOR,NR,I551-I553,EE00	2915456 	2932662 	2740696 	3203721 	3748865 	3823039 	3909326 	3919299 	3770207 	4014581 	4150419 	4174552 
FOR,NR,I551-I553,EL30	5017437 	4722681 	4454770 e	4372391 e	4708288 	3868098 e	4381506 	5674801 e	5830865 e	5835717 e	6663424 e	7170767 
FOR,NR,I551-I553,EL41	: 	: 	1449605 e	1411209 e	1373423 	1283169 e	1561612 	1784069 e	1945552 e	1607530 e	1841493 e	2075619 
FOR,NR,I551-I553,EL42	13144237 	12910020 	15014228 e	16265432 e	18425579 	16576204 e	18504776 	19071358 e	20269721 e	20080508 e	22785701 e	27037474 
FOR,NR,I551-I553,EL43	14158819 	14573794 	14910702 e	15855489 e	19914142 	17872690 e	20573561 	21552910 e	22154000 e	23998896 e	25927972 e	29517742 
FOR,NR,I551-I553,EL51	579291 	631898 	1038884 e	884571 e	: 	943008 e	1407725 	1939169 e	2158765 e	2006680 e	2349007 e	2151610 
FOR,NR,I551-I553,EL52	4240108 	4673721 	7742605 e	7715904 e	: 	8843134 e	9429032 	10071849 e	10426966 e	9782234 e	11126503 e	11660054 
FOR,NR,I551-I553,EL53	: 	: 	37516 e	39759 e	: 	43695 e	50171 	46206 e	42989 e	42728 e	64013 e	67243 
FOR,NR,I551-I553,EL54	236045 	234031 	411606 e	470329 e	: 	474207 e	597190 	768105 e	801590 e	941544 e	1209470 e	1651332 
FOR,NR,I551-I553,EL61	665793 	664865 	1114707 e	1024195 e	: 	927649 e	1083109 	1321748 e	1386662 e	1324434 e	1503980 e	2004517 
FOR,NR,I551-I553,EL62	6328611 	6200661 	7826465 e	7660023 e	: 	8189418 e	9085498 	9608194 e	10189154 e	10993653 e	11835299 e	14538545 
FOR,NR,I551-I553,EL63	909960 	834330 	764463 e	734884 e	: 	586885 e	707829 	832090 e	936392 e	947151 e	1051029 e	1145939 
FOR,NR,I551-I553,EL64	570750 	510874 	541541 e	531145 e	: 	423121 e	395888 	533557 e	583305 e	698892 e	847396 e	1138159 
FOR,NR,I551-I553,EL65	1110592 	908198 	1208322 e	1182438 e	: 	1023105 e	1214743 	1471100 e	1528563 e	1765789 e	2079099 e	2412240 
FOR,NR,I551-I553,ES11	1632383 	1549129 	1390646 	1566776 	1480303 	1517293 	1612291 	1815027 	2070005 	2280578 	2467266 	2344969 
FOR,NR,I551-I553,ES12	509851 	499338 	429865 	494523 	508045 	485228 	500052 	575907 	631439 	769881 	800705 	832712 
FOR,NR,I551-I553,ES13	639973 	646446 	597246 	653737 	651186 	643058 	672352 	691966 	771251 	865486 	868113 	969285 
